Toyota의 통화는 JPY이고, Toyota의 주가는 2712.0입니다. Toyota의 1개월 성과는 0.9%, 3개월 성과는 8.4%, 1년 성과는 34.6%입니다. Toyota의 시가총액은 현지 통화로 44246.2억, USD로는 293.2억입니다. Toyota의 2023년 예상 PER는 14.9배, 2024년은 10.0배, 2025년은 9.7배입니다. Toyota의 PBR은 2023년에 1.3배, 2024년에 1.2배, 2025년에 1.1배입니다. Toyota의 ROE는 2023년에 9.4%, 2024년에 12.9%, 2025년에 11.9%입니다.
Honda의 통화는 JPY이고, Honda의 주가는 1569.0입니다. Honda의 1개월 성과는 -7.1%, 3개월 성과는 3.9%, 1년 성과는 37.0%입니다. Honda의 시가총액은 현지 통화로 8523.7억, USD로는 56.5억입니다. Honda의 2023년 예상 PER는 10.9배, 2024년은 7.8배, 2025년은 7.3배입니다. Honda의 PBR은 2023년에 0.7배, 2024년에 0.6배, 2025년에 0.6배입니다. Honda의 ROE는 2023년에 6.8%, 2024년에 8.8%, 2025년에 8.6%입니다.
Nissan의 통화는 JPY이고, Nissan의 주가는 596.5입니다. Nissan의 1개월 성과는 -10.0%, 3개월 성과는 -5.5%, 1년 성과는 23.2%입니다. Nissan의 시가총액은 현지 통화로 2517.7억, USD로는 16.7억입니다. Nissan의 2023년 예상 PER는 13.5배, 2024년은 6.2배, 2025년은 5.4배입니다. Nissan의 PBR은 2023년에 0.5배, 2024년에 0.4배, 2025년에 0.4배입니다. Nissan의 ROE는 2023년에 3.8%, 2024년에 7.3%, 2025년에 7.6%입니다.
Tata의 통화는 INR이고, Tata의 주가는 627.7입니다. Tata의 1개월 성과는 -0.4%, 3개월 성과는 0.8%, 1년 성과는 48.7%입니다. Tata의 시가총액은 현지 통화로 2300.8억, USD로는 27.6억입니다. Tata의 2023년 예상 PER는 nan배, 2024년은 13.2배, 2025년은 11.2배입니다. Tata의 PBR은 2023년에 5.5배, 2024년에 3.8배, 2025년에 2.8배입니다. Tata의 ROE는 2023년에 -2.4%, 2024년에 30.0%, 2025년에 26.6%입니다.
Maruti_Suzuki의 통화는 INR이고, Maruti_Suzuki의 주가는 10227.8입니다. Maruti_Suzuki의 1개월 성과는 -3.6%, 3개월 성과는 5.9%, 1년 성과는 10.8%입니다. Maruti_Suzuki의 시가총액은 현지 통화로 3089.6억, USD로는 37.1억입니다. Maruti_Suzuki의 2023년 예상 PER는 40.0배, 2024년은 26.5배, 2025년은 23.0배입니다. Maruti_Suzuki의 PBR은 2023년에 5.1배, 2024년에 4.4배, 2025년에 3.9배입니다. Maruti_Suzuki의 ROE는 2023년에 12.8%, 2024년에 17.8%, 2025년에 18.7%입니다.
GM의 통화는 USD이고, GM의 주가는 28.0입니다. GM의 1개월 성과는 -15.1%, 3개월 성과는 -26.5%, 1년 성과는 -28.8%입니다. GM의 시가총액은 현지 통화로 38.3억, USD로는 38.3억입니다. GM의 2023년 예상 PER는 3.8배, 2024년은 4.2배, 2025년은 4.1배입니다. GM의 PBR은 2023년에 0.5배, 2024년에 0.5배, 2025년에 0.4배입니다. GM의 ROE는 2023년에 14.5%, 2024년에 10.5%, 2025년에 9.6%입니다.
Ford의 통화는 USD이고, Ford의 주가는 9.9입니다. Ford의 1개월 성과는 -20.2%, 3개월 성과는 -26.2%, 1년 성과는 -22.3%입니다. Ford의 시가총액은 현지 통화로 39.7억, USD로는 39.7억입니다. Ford의 2023년 예상 PER는 5.3배, 2024년은 5.8배, 2025년은 5.5배입니다. Ford의 PBR은 2023년에 0.9배, 2024년에 0.8배, 2025년에 0.8배입니다. Ford의 ROE는 2023년에 15.5%, 2024년에 14.9%, 2025년에 14.4%입니다.
Stellantis의 통화는 USD이고, Stellantis의 주가는 18.9입니다. Stellantis의 1개월 성과는 -1.0%, 3개월 성과는 -5.9%, 1년 성과는 37.9%입니다. Stellantis의 시가총액은 현지 통화로 59.9억, USD로는 59.9억입니다. Stellantis의 2023년 예상 PER는 3.1배, 2024년은 3.3배, 2025년은 3.3배입니다. Stellantis의 PBR은 2023년에 0.7배, 2024년에 0.6배, 2025년에 0.5배입니다. Stellantis의 ROE는 2023년에 23.0%, 2024년에 18.5%, 2025년에 16.8%입니다.
Tesla의 통화는 USD이고, Tesla의 주가는 205.7입니다. Tesla의 1개월 성과는 -17.8%, 3개월 성과는 -21.2%, 1년 성과는 -9.7%입니다. Tesla의 시가총액은 현지 통화로 653.8억, USD로는 653.8억입니다. Tesla의 2023년 예상 PER는 65.0배, 2024년은 50.7배, 2025년은 36.7배입니다. Tesla의 PBR은 2023년에 12.4배, 2024년에 10.1배, 2025년에 8.1배입니다. Tesla의 ROE는 2023년에 19.5%, 2024년에 20.9%, 2025년에 21.2%입니다.
Rivian의 통화는 USD이고, Rivian의 주가는 16.1입니다. Rivian의 1개월 성과는 -33.6%, 3개월 성과는 -40.9%, 1년 성과는 -51.8%입니다. Rivian의 시가총액은 현지 통화로 15.3억, USD로는 15.3억입니다. Rivian의 2023년 예상 PER는 nan배, 2024년은 nan배, 2025년은 nan배입니다. Rivian의 PBR은 2023년에 1.6배, 2024년에 1.6배, 2025년에 1.9배입니다. Rivian의 ROE는 2023년에 -42.8%, 2024년에 -40.0%, 2025년에 -30.8%입니다.
Lucid의 통화는 USD이고, Lucid의 주가는 4.1입니다. Lucid의 1개월 성과는 -27.5%, 3개월 성과는 -44.3%, 1년 성과는 -70.3%입니다. Lucid의 시가총액은 현지 통화로 9.2억, USD로는 9.2억입니다. Lucid의 2023년 예상 PER는 nan배, 2024년은 nan배, 2025년은 nan배입니다. Lucid의 PBR은 2023년에 1.8배, 2024년에 3.0배, 2025년에 3.3배입니다. Lucid의 ROE는 2023년에 -62.6%, 2024년에 -85.0%, 2025년에 -44.6%입니다.
Nikola의 통화는 USD이고, Nikola의 주가는 1.1입니다. Nikola의 1개월 성과는 -33.1%, 3개월 성과는 -66.3%, 1년 성과는 -69.1%입니다. Nikola의 시가총액은 현지 통화로 0.9억, USD로는 0.9억입니다. Nikola의 2023년 예상 PER는 nan배, 2024년은 nan배, 2025년은 nan배입니다. Nikola의 PBR은 2023년에 1.3배, 2024년에 2.2배, 2025년에 1.1배입니다. Nikola의 ROE는 2023년에 -93.3%, 2024년에 -103.9%, 2025년에 161.4%입니다.
Canoo의 통화는 USD이고, Canoo의 주가는 0.3입니다. Canoo의 1개월 성과는 -47.5%, 3개월 성과는 -60.8%, 1년 성과는 -81.2%입니다. Canoo의 시가총액은 현지 통화로 0.2억, USD로는 0.2억입니다. Canoo의 2023년 예상 PER는 nan배, 2024년은 nan배, 2025년은 nan배입니다. Canoo의 PBR은 2023년에 nan배, 2024년에 nan배, 2025년에 nan배입니다. Canoo의 ROE는 2023년에 nan%, 2024년에 nan%, 2025년에 nan%입니다.
Nio의 통화는 USD이고, Nio의 주가는 7.5입니다. Nio의 1개월 성과는 -17.6%, 3개월 성과는 -49.1%, 1년 성과는 -23.3%입니다. Nio의 시가총액은 현지 통화로 12.4억, USD로는 12.4억입니다. Nio의 2023년 예상 PER는 nan배, 2024년은 nan배, 2025년은 nan배입니다. Nio의 PBR은 2023년에 8.9배, 2024년에 41.9배, 2025년에 nan배입니다. Nio의 ROE는 2023년에 -114.6%, 2024년에 -59.5%, 2025년에 -33.6%입니다.
Xpeng의 통화는 USD이고, Xpeng의 주가는 15.5입니다. Xpeng의 1개월 성과는 -15.6%, 3개월 성과는 -22.7%, 1년 성과는 141.8%입니다. Xpeng의 시가총액은 현지 통화로 13.4억, USD로는 13.4억입니다. Xpeng의 2023년 예상 PER는 nan배, 2024년은 nan배, 2025년은 nan배입니다. Xpeng의 PBR은 2023년에 4.2배, 2024년에 5.5배, 2025년에 6.3배입니다. Xpeng의 ROE는 2023년에 -31.1%, 2024년에 -27.9%, 2025년에 -16.9%입니다.
Li_Auto의 통화는 USD이고, Li_Auto의 주가는 35.0입니다. Li_Auto의 1개월 성과는 -1.9%, 3개월 성과는 -21.1%, 1년 성과는 140.3%입니다. Li_Auto의 시가총액은 현지 통화로 37.1억, USD로는 37.1억입니다. Li_Auto의 2023년 예상 PER는 43.4배, 2024년은 24.7배, 2025년은 15.5배입니다. Li_Auto의 PBR은 2023년에 6.2배, 2024년에 5.1배, 2025년에 3.6배입니다. Li_Auto의 ROE는 2023년에 13.6%, 2024년에 19.7%, 2025년에 23.2%입니다.
Volkswagen의 통화는 EUR이고, Volkswagen의 주가는 111.6입니다. Volkswagen의 1개월 성과는 -10.5%, 3개월 성과는 -23.0%, 1년 성과는 -27.8%입니다. Volkswagen의 시가총액은 현지 통화로 53.6억, USD로는 56.7억입니다. Volkswagen의 2023년 예상 PER는 3.6배, 2024년은 3.6배, 2025년은 3.3배입니다. Volkswagen의 PBR은 2023년에 0.3배, 2024년에 0.3배, 2025년에 0.3배입니다. Volkswagen의 ROE는 2023년에 9.0%, 2024년에 8.2%, 2025년에 8.0%입니다.
Porsche의 통화는 EUR이고, Porsche의 주가는 83.0입니다. Porsche의 1개월 성과는 -6.8%, 3개월 성과는 -26.0%, 1년 성과는 -20.8%입니다. Porsche의 시가총액은 현지 통화로 75.6억, USD로는 79.9억입니다. Porsche의 2023년 예상 PER는 14.3배, 2024년은 13.5배, 2025년은 12.4배입니다. Porsche의 PBR은 2023년에 4.0배, 2024년에 3.4배, 2025년에 2.9배입니다. Porsche의 ROE는 2023년에 29.1%, 2024년에 27.0%, 2025년에 25.4%입니다.
Mercedes-Benz의 통화는 EUR이고, Mercedes-Benz의 주가는 56.4입니다. Mercedes-Benz의 1개월 성과는 -14.1%, 3개월 성과는 -20.5%, 1년 성과는 -4.7%입니다. Mercedes-Benz의 시가총액은 현지 통화로 60.4억, USD로는 63.8억입니다. Mercedes-Benz의 2023년 예상 PER는 4.4배, 2024년은 4.6배, 2025년은 4.5배입니다. Mercedes-Benz의 PBR은 2023년에 0.7배, 2024년에 0.6배, 2025년에 0.6배입니다. Mercedes-Benz의 ROE는 2023년에 15.4%, 2024년에 13.8%, 2025년에 12.4%입니다.
BMW의 통화는 EUR이고, BMW의 주가는 88.9입니다. BMW의 1개월 성과는 -7.7%, 3개월 성과는 -15.5%, 1년 성과는 10.9%입니다. BMW의 시가총액은 현지 통화로 56.3억, USD로는 59.5억입니다. BMW의 2023년 예상 PER는 4.9배, 2024년은 5.4배, 2025년은 5.3배입니다. BMW의 PBR은 2023년에 0.6배, 2024년에 0.6배, 2025년에 0.5배입니다. BMW의 ROE는 2023년에 13.2%, 2024년에 11.2%, 2025년에 10.6%입니다.
Renault의 통화는 EUR이고, Renault의 주가는 33.0입니다. Renault의 1개월 성과는 -15.1%, 3개월 성과는 -16.3%, 1년 성과는 3.5%입니다. Renault의 시가총액은 현지 통화로 9.8억, USD로는 10.3억입니다. Renault의 2023년 예상 PER는 2.6배, 2024년은 2.6배, 2025년은 2.5배입니다. Renault의 PBR은 2023년에 0.3배, 2024년에 0.3배, 2025년에 0.2배입니다. Renault의 ROE는 2023년에 11.4%, 2024년에 10.0%, 2025년에 9.5%입니다.
Ferrari의 통화는 EUR이고, Ferrari의 주가는 287.2입니다. Ferrari의 1개월 성과는 2.7%, 3개월 성과는 -0.9%, 1년 성과는 44.2%입니다. Ferrari의 시가총액은 현지 통화로 52.3억, USD로는 55.3억입니다. Ferrari의 2023년 예상 PER는 44.2배, 2024년은 38.3배, 2025년은 34.1배입니다. Ferrari의 PBR은 2023년에 16.8배, 2024년에 13.8배, 2025년에 11.5배입니다. Ferrari의 ROE는 2023년에 40.5%, 2024년에 38.5%, 2025년에 35.5%입니다.
Great_Wall의 통화는 HKD이고, Great_Wall의 주가는 11.4입니다. Great_Wall의 1개월 성과는 21.8%, 3개월 성과는 7.0%, 1년 성과는 29.5%입니다. Great_Wall의 시가총액은 현지 통화로 224.4억, USD로는 28.7억입니다. Great_Wall의 2023년 예상 PER는 14.4배, 2024년은 10.7배, 2025년은 8.7배입니다. Great_Wall의 PBR은 2023년에 1.3배, 2024년에 1.2배, 2025년에 1.1배입니다. Great_Wall의 ROE는 2023년에 9.6%, 2024년에 11.9%, 2025년에 13.2%입니다.
